kdrama_name,recommendations
Strangers Again,"['Go Back Couple', 'Emergency Couple', 'Cunning Single Lady', 'Familiar Wife', 'Have a Crush on You', 'The Law Cafe']"
We Only See Each Other at Night,
Crash Course in Romance,"['Crazy Love', 'Love to Hate You', 'Hello, Me!', 'When the Camellia Blooms', 'SKY Castle', 'Romance Is a Bonus Book']"
"Poong, the Joseon Psychiatrist Season 2","['Poong, the Joseon Psychiatrist']"
Agency,"['Black Dog', 'Misaeng: Incomplete Life', 'Search: WWW', 'Why Her?', 'Cold Blooded Intern']"
Payback: Money and Power,"['Reborn Rich', 'Numbers', 'Golden Empire', 'Tracer', 'Money Game']"
Brain Works,"['Bad and Crazy', 'Mouse', 'Man to Man', 'S.C.I', 'The Fiery Priest']"
The Glory,"['Weak Hero Class 1', 'My Name', 'Revenge of Others', 'The King of Pigs', 'The Penthouse: War in Life', 'Better Days']"
Island,"['Bulgasal: Immortal Souls', 'The Guest', 'Hellbound', 'Tale of the Nine-Tailed', 'The Uncanny Counter', 'Gu Family Book']"
Hit the Spot,"['You Raise Me Up', '17.3 About a Sex', 'Casa Amor: Exclusive for Ladies', 'Raise de wa Chanto Shimasu', 'Adult Trainee', 'Love with Flaws']"
The Fabulous,"['Sh**ting Stars', 'Record of Youth', 'Followers', 'Behind Every Star', 'Now, We Are Breaking Up', 'Celebrity']"
Big Bet,['Decoy: Part 1']
The New Employee,"['To My Star', 'Where Your Eyes Linger', 'The Director Who Buys Me Dinner', '30-sai made Dotei Da to Mahotsukai ni Nareru rashii', 'All the Liquors', 'Ameiro Paradox']"
The Interest of Love,"['Nevertheless,', 'Love Affairs in the Afternoon', 'My Mister', 'Drama Special Season 8: Dancing the Waltz Alone', 'A Piece of Your Mind', 'V.I.P']"
Missing: The Other Side Season 2,"['Missing: The Other Side', 'May I Help You', 'Sell Your Haunted House', 'Hotel del Luna', 'Goblin', 'Tomorrow']"
Trolley,"['Misty', 'The Truth Beneath', 'V.I.P', 'Undercover', 'Goodbye to Goodbye', 'Pandora: Beneath the Paradise']"
Red Balloon,"['First Wives Club', 'Goddess Of Marriage', 'Happy Home', 'Autumn Shower', 'Eve', 'Plerng Boon']"
The King of the Desert,['Hoshi Shinichi no Fushigina Fushigina Tanpen Dorama']
The Director Who Buys Me Dinner,"['First Love Again', 'Roommates of Poongduck 304', 'The Bride of Habaek', 'The New Employee', 'No Touching At All', 'A Shoulder to Cry On']"
Turned on by You Season 2,
BReal Bro&Sis,
Anonymous High School Girl,['One Last Order']
We're Not Trash,"['The Broken Us', ""It's Okay, That's Love"", ""It's Okay to Not Be Okay""]"
Alchemy of Souls Season 2: Light and Shadow,"['Alchemy of Souls', 'Lovers of the Red Sky', 'Goblin', 'The Forbidden Marriage', 'The Untamed', 'A Korean Odyssey']"
Money Heist: Korea - Joint Economic Area - Part 2,
The Forbidden Marriage,"['Mr. Queen', 'Our Blooming Youth', 'Alchemy of Souls Season 2: Light and Shadow', '100 Days My Prince', 'The Legendary Life of Queen Lau', 'The Red Sleeve']"
"Work Later, Drink Now Season 2","['Work Later, Drink Now', 'Age of Youth', 'Be Melodramatic', ""It's Okay to Be Sensitive"", 'Miss Independent Ji Eun', 'Search: WWW']"
Love in Blue,
Unlock My Boss,"['My Holo Love', 'Zombie Detective', ""Please Don't Date Him"", 'W', 'Start-Up', 'Delivery Man']"
Connect,
2PM Campus,
Loan to You,
Recipe for Farewell,"['Would You Like a Cup of Coffee?', 'Lion no Oyatsu', 'Josee', 'Little Forest', 'Mr. Housewife']"
Oh! My Assistant,"['Kabe Sa Doujin Sakka no Neko Yashiki-kun wa Shouninyokkyuu wo Kojiraseteiru', 'Roommates of Poongduck 304', 'The Novelist: Playback']"
Riding Dongdang,
Only You,
Themselves,
Happy Ending Romance,"['First Love Again', 'Lovely Writer', 'Individual Circumstances', 'Dark Blue and Moonlight']"
Summer Strike,"['Hometown Cha-Cha-Cha', 'My Liberation Notes', 'Meet Yourself', 'When the Weather Is Fine', 'Run On', 'Link: Eat, Love, Kill']"
Out of this World Girlfriend,"['At a Distance, Spring Is Green']"
Why Opposites Attract,
Weak Hero Class 1,"['The Glory', 'D.P.', 'Revenge of Others', 'My Name', 'Night Flight', 'Dokgo Rewind']"
Reborn Rich,"['Again My Life', 'The Golden Spoon', 'Vincenzo', 'Midas', 'Payback: Money and Power', 'Little Women']"
"Fanletter, Please","['When the Camellia Blooms', 'Smile to Life']"
New Love Playlist,['A Ticket to India']
Somebody,"['Hometown', 'Strangers from Hell', 'Psychopath Diary', 'V.I.P.', 'The Uncle', 'Unlocked']"
Phantom School,"['Aftermath', 'The Great Shaman Ga Doo Shim']"
The First Responders,"['Partners for Justice', 'Jirisan', 'Bad and Crazy', 'Ark Peace', 'Blue Flame Assault', 'Glory of Special Forces']"
Revenge of Others,"['Weak Hero Class 1', 'The Glory', 'Extracurricular', 'Class of Lies', ""Solomon's Perjury"", 'The King of Pigs']"
The Witch Store Reopens,
Chart Running Scholar,
Behind Every Star,"['Sh**ting Stars', 'The Fabulous']"
Disarming Romance,['Crash Landing on You']
Our Relationship Ended Before It Began,['Welcome to the Lesbian Bar']
Curtain Call,"['Crash Landing on You', 'Mask', 'My Girl']"
Idol in My Living Room,
Bargain,"['Sinkhole', 'Sweet Home', 'Bargain']"
Midnight Horror: Six Nights,"['Horror Delivery Service', 'Goedam']"
Shadow Detective,"['Decoy: Part 1', 'Trap', 'Stranger', 'Nobody Knows', 'Money Game', 'Beyond Evil']"
Choco Milk Shake,"['My Woofy Poofy Love', 'The Miracle of Teddy Bear', 'A First Love Story', 'Meow Ears Up', 'Eien no Kinou', 'Choco Milk Shake: Behind Story']"
She Makes My Heart Flutter,"['GAP', 'Out of Breath', 'Chalna: Enough Time to Fall in Love', 'Kieta Hatsukoi', '≥75℃', 'Be Mine']"
Fall for You,"['Extraordinary You', 'Miss Ye in Wonderland', 'Night of Love With You', 'Lost Romance', 'The Romance of Tiger and Rose', 'A-Teen']"
May I Help You,"['Mystic Pop-Up Bar', 'Hometown Cha-Cha-Cha', 'Tomorrow', 'From Now On, Showtime!', 'Delivery Man', 'Hotel del Luna']"
Love Is Right,
Under the Queen's Umbrella,"['Mr. Queen', 'The Crowned Clown', 'The Red Sleeve', 'Our Blooming Youth', 'Bloody Heart', ""The King's Affection""]"
Take 1,
Yonder,"['Circle', 'Drama Special Season 12: TV Cinema - Hee Soo']"
Roommates of Poongduck 304,"['Kissable Lips', 'The Director Who Buys Me Dinner', 'Rak Diao', 'The New Employee', 'Mr Yan Dong! Don’t Come Over', 'Capture Lover']"
The Witch's Game,"['Second Husband', 'Gold Mask', 'Gracious Revenge', 'Vengeance of the Bride']"
Vengeance of the Bride,"['Glass Mask', 'Gold Mask', 'Young Lady and Gentleman', ""The Witch's Game"", ""A Bird That Doesn't Sing"", 'Gracious Revenge']"
Glitch,"['The School Nurse Files', 'Save Me', 'Midnight Runners', 'Circle', 'Extracurricular', 'In the Name of God: A Holy Betrayal']"
Bad Prosecutor,"['The Devil Judge', 'Lawless Lawyer', 'Hero', 'Vincenzo', 'One Dollar Lawyer', 'Military Prosecutor Doberman']"
Love Is for Suckers,"['The Time We Were Not in Love', 'The Producers', 'Single’s Inferno Season 1', 'The Law Cafe', 'Romance Is a Bonus Book', 'You Drive Me Crazy']"
Have a Good Neighbor,
"Now, Parliament Is 36.5",
The Love in Your Eyes,"['Young Lady and Gentleman', 'You Are My Destiny', 'Backstreet Rookie']"
Cheer Up,"['Rookie Cops', 'Sassy Go Go', 'At a Distance, Spring Is Green', 'School 2017', 'My Roommate Is a Gumiho', 'Racket Boys']"
Gaus Electronics,"['Eulachacha Waikiki', 'Never Give Up', 'Good Manager', 'Pegasus Market', 'Unicorn', 'Stock Struck']"
The Witch's Eye,
Three Bold Siblings,"[""It's Beautiful Now""]"
The Empire,"['Why Her?', 'V.I.P']"
One Dollar Lawyer,"['May It Please the Court', 'Vincenzo', 'Hyena', 'Legal High', 'Again My Life', 'Lawless Lawyer']"
The Golden Spoon,"['Reborn Rich', 'Familiar Wife', 'Mystic Pop-Up Bar', 'My Holo Love', 'Anna', 'Parasite']"
Seasons of Blossom,"['20th Century Girl', 'Blue Birthday', 'Waiting for Rain', 'At a Distance, Spring Is Green', 'Love Revolution', 'Summer Strike']"
May It Please the Court,"['Why Her?', 'One Dollar Lawyer', ""Witch's Court"", 'Divorce Lawyer in Love', 'Vincenzo', 'Ishiko to Haneo: Sonna Koto de Uttaemasu?']"
Love in Contract,"['A Business Proposal', 'Marriage Contract', 'Because This Is My First Life', 'Lucky Romance', ""What's Wrong with Secretary Kim"", 'Perfect and Casual']"
Blind,
My Chilling Roommate,
Once Again,"['My Father Is Strange', 'Smile, You', 'Reply 1988', 'Hometown Cha-Cha-Cha', 'What Happens to My Family?', 'Five Enough']"
Null Maybe,
Mental Coach Jegal,"['Touch', 'Love All Play', 'Racket Boys', 'Soul Mechanic', ""Ho Goo's Love"", 'Misaeng: Incomplete Life']"
Narco-Saints,"['Extracurricular', 'Money Heist: Korea - Joint Economic Area - Part 1', 'Hunt', 'Save Me', 'The Amazing Grace of Σ']"
"Pro, Teen",
The Law Cafe,"['Vincenzo', 'Suspicious Partner', 'Our Beloved Summer', 'The Gentlemen of Wolgyesu Tailor Shop', 'Discovery of Romance', 'Miss Hammurabi']"
Once Upon a Small Town,"['Hometown Cha-Cha-Cha', 'Top Star Yoo Baek', 'Our Blues', 'Forest', 'When the Camellia Blooms', 'Summer Strike']"
Little Women,"['The Penthouse: War in Life', 'Anna', ""Green Mothers' Club"", 'Parasite', 'SKY Castle', 'Reborn Rich']"
Desperate Mr. X,"['I Have Not Done My Best Yet', 'Stock Struck']"
MBTI Love,
Unicorn,"['Gaus Electronics', 'Start-Up', 'Stock Struck']"
Ongoing Loved One,
Good Job,"['From Now On, Showtime!', 'Tell Me What You Saw', 'The Spies Who Loved Me', 'Kiss Sixth Sense', 'Cinderella and the Four Knights', 'Strong Woman Do Bong Soon']"
Girlfriend Project Day 1,"['Be Mine', 'Can I Kiss My Best Friend?', 'Out of Breath', 'Dating Class', 'Love Class', '≥75℃']"
Love On Green,
Anna: Extended Version,"['The Golden Spoon', 'Extracurricular']"
Stock Struck,"['Pegasus Market', 'Gaus Electronics', 'Kkondae  Intern', 'My Roommate Is a Gumiho', 'Cleaning Up', 'Never Give Up']"
A Model Family,"['Woman of 9.9 Billion', 'Extracurricular', 'Beasts Clawing at Straws', 'Hope or Dope', 'Enka: Gold Rush', 'Drama Stage Season 3: Blackout']"
"Everyone, at Least Once",
If You Wish Upon Me,"['Move to Heaven', 'Chocolate', 'Tomorrow', 'The One and Only', 'Just Between Lovers', 'Doctor John']"
Cheonglywood,
Salon De Nabi,"['A Little Thing Called First Love', 'Age of Youth', 'Touch', 'Would You Like a Cup of Coffee?']"
"Poong, the Joseon Psychiatrist","['Kingdom', 'Secret Royal Inspector & Joy', 'Moonshine', 'Secret Royal Inspector', 'Bossam: Steal the Fate', 'Bad and Crazy']"
Hunted,['Sweet Revenge Season 2']
The Good Detective Season 2,"['Beyond Evil', 'Bitter Blood', 'The Good Detective']"
Big Mouth,"['Vincenzo', 'One Ordinary Day', 'Flower of Evil', 'Mouse', 'Insider', 'Vagabond']"
Today's Webtoon,"['Bakuman.', 'Master of My Own', 'Juhan Shuttai!', 'Love All Play', 'Sh**ting Stars', 'Misaeng: Incomplete Life']"
Adamas,"['Defendant', 'Beyond Evil', 'Graceful Family', 'Little Women', 'The Devil Judge', 'Confession']"
Mimicus,"['Dear.M', 'Miracle']"
New Recruit,
Remarriage and Desires,"['The Glory', 'Eve', 'The Penthouse: War in Life', 'High Class', 'Graceful Family', 'The World of the Married']"
Dear X Who Doesn't Love Me,['Dear.M']
The Girls on the Phone,
Is There Equation in Love?,
Bad Girlfriend,"['I Have Three Boyfriends', 'My Fuxxxxx Romance', ""Go Ho's Starry Night"", 'Watashi no Tadashi Oniichan', 'Jealousy Incarnate']"
Dream Maker,
Secretly Sweetly Season 2,
Twin,
Extraordinary Attorney Woo,"['Move to Heaven', 'Good Doctor', ""It's Okay to Not Be Okay"", 'Innocent Witness', 'Miss Hammurabi', 'She and Her Perfect Husband']"
Dear.M,"['At a Distance, Spring Is Green', 'School 2017', 'Love Playlist', 'Romance Is a Bonus Book', 'A Love So Beautiful', 'Cafe Midnight Season 3: The Curious Stalker']"
Café Minamdang,"['Vincenzo', 'Itaewon Class', 'Hello Monster', 'The Fiery Priest', 'Suspicious Partner', 'While You Were Sleeping']"
Convenience Store Junkies,['Backstreet Rookie']
Becoming Witch,['Avengers Social Club']
Money Heist: Korea - Joint Economic Area - Part 1,"['Snowdrop', 'Designated Survivor: 60 Days', 'Narco-Saints', 'Pied Piper']"
Anna,"['Little Women', 'Parasite', 'The Golden Spoon', 'Mask', 'Miss Ripley', 'Eve']"
"Alice, the Final Weapon","['Extracurricular', 'Weak Hero Class 1', 'Definitely Not Today', 'Kill It', 'Psychopath Diary', 'My Name']"
Miracle,"['Imitation', 'Shopping King Louie', 'Almost Famous', 'Trot Lovers', 'Mimicus', 'Let Me Be Your Knight']"
Alchemy of Souls,"['Alchemy of Souls Season 2: Light and Shadow', 'Moon Lovers: Scarlet Heart Ryeo', 'Lovers of the Red Sky', 'Ever Night', 'Mr. Queen', 'The Untamed']"
One's Own Love,
Jinxed at First,"['The Legend of the Blue Sea', 'While You Were Sleeping', 'Dali and the Cocky Prince', 'Strong Woman Do Bong Soon', 'Fukou-kun wa Kiss Suru Shikanai!', 'May I Help You']"
Yumi's Cells Season 2,"[""Yumi's Cells"", 'Because This Is My First Life', 'Extraordinary You', 'On Your Wedding Day']"
New Normal Zine,
Mr. Kang,
Insider,"['Big Mouth', 'Doctor Prisoner', 'The Merciless', 'Cruel City', 'Prison Playbook', 'Shark: The Beginning']"
"Link: Eat, Love, Kill","['Beyond Evil', ""The Killer's Shopping List"", ""It's Okay to Not Be Okay"", 'Summer Strike', 'Suspicious Partner', 'Find Me in Your Memory']"
To My Star Season 2: Our Untold Stories,"['To My Star', 'Semantic Error', 'Irresistible Love  2', 'Beyond Evil', 'The Eighth Sense', 'The Cornered Mouse Dreams of Cheese']"
Cleaning Up,"['Avengers Social Club', 'Work Later, Drink Now', 'Search: WWW', 'Stock Struck', 'Thirty-Nine', 'Kill Heel']"
Why Her?,"['I Hear Your Voice', 'May It Please the Court', 'Law School', 'Melancholia', 'Class of Lies', 'Doctor Lawyer']"
Doctor Lawyer,"['Why Her?', 'Life', 'Seigi no Tenbin', 'Doctor Prisoner']"
Eve,"['The Glory', 'Remarriage and Desires', 'The World of the Married', 'Lust, Caution', 'Graceful Family', ""Show Window: The Queen's House""]"
Hope or Dope 2,"['Hope or Dope', 'Juvenile Justice', 'Extracurricular']"
Problematic Detective Agency,
Kiss Sixth Sense,"[""Go Ho's Starry Night"", 'While You Were Sleeping', 'Payakorn Sorn Ruk', 'The Game: Towards Zero', 'Love Is for Suckers', 'Chocolate']"
Gold Mask,"['Second Husband', ""The Witch's Game"", 'Woman in a Veil', 'Glass Mask', 'Vengeance of the Bride']"
Welcome to Wedding Hell,['Another Miss Oh']
Master's Delicacies,"['Falling in Love', 'The Tasty Florida', 'My Sweet Dear', 'Gourmet in Tang Dynasty', 'Dating in the Kitchen', ""Cupid's Kitchen""]"
"Why, All of a Sudden?",
Tutorial,
Love in Spring,"[""Nobleman Ryu's Wedding"", 'The Tale of Nokdu', 'Tinted With You']"
Rose Mansion,"['The Glory', 'Mouse', 'Hometown', 'Strangers from Hell', 'Happiness', 'Uncle']"
Love Class,"['Blueming', 'First Love Again', 'Oh! Boarding House', 'Girlfriend Project Day 1', 'Dating Class', 'A First Love Story']"
Woo Ri the Virgin,"['Fated to Love You', 'A Business Proposal', 'You Are My Destiny', 'Was It Love?', 'New Tales of Gisaeng', 'Fated to Love You']"
