kdrama_name,recommendations
Hush,"['Pinocchio', 'Money Game', 'Black Dog', 'Times', 'Misaeng: Incomplete Life', 'Diary of a Prosecutor']"
Growing Season,"['Adult Trainee', ""It's Okay to Be Sensitive"", ""It's Okay to Be Sensitive Season 2"", 'Nevertheless,', '17.3 About a Sex']"
True Beauty,"['My ID Is Gangnam Beauty', 'A Business Proposal', 'School 2017', 'Extraordinary You', 'Switch Girl!!', 'The Heirs']"
No Going Back Romance,"['Like', 'Who Stole My Kiss']"
Wish You: Your Melody From My Heart,"['You Make Me Dance', 'Where Your Eyes Linger', 'Mr. Heart', 'As if You Whisper', 'Long Time No See', 'Craving You']"
It's Okay to Be Sensitive Season 3,"[""It's Okay to Be Sensitive"", ""It's Okay to Be Sensitive Season 2""]"
"Cheat On Me, if You Can","['My Dangerous Wife', 'The World of the Married', 'My Wife’s Having an Affair This Week', ""Show Window: The Queen's House"", 'Misty', 'Mistress']"
Awaken,"['L.U.C.A.: The Beginning', 'Flower of Evil', 'Blind', 'Kill It', 'Mouse', 'Memorist']"
The Uncanny Counter,"['Tomorrow', 'Bring It On, Ghost', 'He Is Psychometric', 'Taxi Driver', 'Hotel del Luna', 'The Fiery Priest']"
Cramped Love,
The Goddess of Revenge,"['Avengers Social Club', 'Taxi Driver', 'Lie After Lie', 'Taxi Driver Season 2', 'The Guardians']"
"No, Thank You",
Real:Time:Love Season 4,
Can You Deliver Time?,['Turn Left Turn Right']
Live On,"['School 2017', 'Best Mistake', 'My ID Is Gangnam Beauty', 'True Beauty', 'Blue Birthday', 'Love Revolution']"
Meal Kid,
Cha Ta Gong In,
The Mermaid Prince: The Beginning,"['Like', 'Mermaid Prince', 'Best Mistake']"
Please Don't Date Him,"['Imitation', 'Unlock My Boss', 'Age of Youth', 'My Holo Love']"
"If in Love, Choose an Ordinance?!",
Super Smart Quiz Show,
Birthcare Center,"['Avengers Social Club', 'Pegasus Market', 'Spring Turns to Spring', 'Oh My Baby', 'SKY Castle', 'Saka no Tochu no Ie']"
Delayed Justice,"['Hyena', 'The Boys', 'Your Honor']"
Discipline Z: Vampire,['Discipline']
Scene and Box: Season of Love,
"Please, Summer",['Meet by Window']
Love Assistant,
The Penthouse: War in Life,"['SKY Castle', 'Mine', 'The World of the Married', 'The Penthouse Season 3: War in Life', 'The Glory', 'The Devil Judge']"
Kairos,"['Signal', ""God's Gift: 14 Days"", '365: Repeat the Year', 'Reset', 'Tunnel', 'My Beautiful Bride']"
Phoenix 2020,"['Cunning Single Lady', 'Phoenix', 'Princess Aurora']"
My YouTube Diary Season 2,
Daily Moon's,['Once Again']
My Wonderful Roommate 2,
The Spies Who Loved Me,"['My Secret Hotel', 'Mask', 'Terius Behind Me', 'Flower of Evil', 'Private Lives', 'Healer']"
Search,"['Happiness', 'Sweet Home', 'Kingdom', 'You Are My Hero', 'The Guest', 'Military Prosecutor Doberman']"
Start-Up,"['Twenty-Five Twenty-One', 'Itaewon Class', 'She Was Pretty', 'Search: WWW', 'While You Were Sleeping', 'Fight for My Way']"
Intern Z,
Single & Ready to Mingle,"['4 Kinds of House', 'So Not Worth it', 'Work Later, Drink Now Season 2']"
Tell Me You've Changed,"['Today Office Tomorrow Romance', 'To My Beautiful Woo Ri', 'The Colors of Our Time']"
No Matter What,"['Sunny Again Tomorrow', 'Love Twist', 'Fated to Love You']"
My Fuxxxxx Romance,"['XX', 'Nevertheless,', 'Bad Girlfriend', 'Friend Zone', 'Romanced']"
Third Person Dating Perspective,
Scene and Box Season 2,
Sugar Coating,
Tale of the Nine-Tailed,"['Goblin', 'A Korean Odyssey', 'Mystic Pop-Up Bar', 'Doom at Your Service', 'My Roommate Is a Gumiho', 'The Legend of the Blue Sea']"
Do Do Sol Sol La La Sol,"['Shopping King Louie', 'Hometown Cha-Cha-Cha', 'Do You Like Brahms?', 'Summer Strike', 'Dali and the Cocky Prince', 'Smile, You']"
Private Lives,"['Player', 'The Spies Who Loved Me', 'My Name', 'Mad Dog', 'Leverage', 'Parasite']"
Everywhere and Nowhere,
My Dangerous Wife,"['Cheat On Me, if You Can', 'Boku no Yabai Tsuma', 'V.I.P', 'The World of the Married', 'The Vanished']"
Special Record on Earth,
Yeokkeuni,
More Than Friends,"['A Poem a Day', 'Nevertheless,', 'She Was Pretty', 'A Love So Beautiful', 'The Time We Were Not in Love', 'I Need Romance Season 2']"
The School Nurse Files,"['Glitch', 'Mystic Pop-Up Bar', 'Abyss', 'My Strange Hero', ""The Master's Sun"", 'Sweet Home']"
18 Again,"['Familiar Wife', 'Go Back Couple', 'Thirty But Seventeen', 'Angry Mom', 'Please Come Back, Mister', '55:15 Never Too Late']"
Zombie Detective,"['The Ghost Detective', 'From Now On, Showtime!', 'Psychopath Diary', 'Vampire Detective', 'He Is Psychometric', 'Bring It On, Ghost']"
Homemade Love Story,"['My Only One', 'Beautiful Love, Wonderful Life', 'Father, I’ll Take Care of You', 'Sunny Again Tomorrow', 'Never Twice', 'The Real Has Come!']"
Mr. Heart,"[""You're My Sky"", 'Color Rush', 'Wish You: Your Melody From My Heart', 'Long Time No See', 'Light on Me', 'Seven Days: Monday - Thursday']"
Romance Bible,
Let Me Off the Earth,"['Extraordinary You', 'Reset', 'Blue Birthday', 'Love in Time', 'Someday or One Day', 'One More Time']"
The Police,
"So Handsome Man, Si Bel Homme",
Dalgona,"['Love Revolution', 'How to Hate You']"
Record of Youth,"['Her Private Life', 'Run On', 'Sh**ting Stars', 'Itaewon Class', 'Fight for My Way', 'Start-Up']"
A Man in a Veil,"['Come! Jang Bo Ri', 'Second Husband', 'Woman in a Veil']"
Lie After Lie,"['Flower of Evil', 'Secret', 'Mother', 'Second Husband', 'Defendant', 'Hi Bye, Mama!']"
LOVE-Imong Season 2,
Scene and Box,
Amanza,"['Boku no Ita Jikan', '1 Litre no Namida', 'If Cats Disappeared From the World', ""The Angel's Time""]"
Love Revolution,"['A-Teen', 'Best Mistake', 'The Guilty Secret', 'Seasons of Blossom', 'Her Smile So Sweet', 'A Love So Beautiful']"
Do You Like Brahms?,"['When the Weather Is Fine', 'Do Do Sol Sol La La Sol', ""Symphony's Romance"", 'Nodame Cantabile', 'A Piece of Your Mind', 'Run On']"
Missing: The Other Side,"['Hotel del Luna', 'Signal', 'Missing: The Other Side Season 2', 'Delivery Man', 'Mystic Pop-Up Bar', 'Life on Mars']"
Dok Go Bin Is Updating,"[""My Girlfriend's Boyfriend""]"
Alice,"['W', 'Someday or One Day', 'Grid', 'Tomorrow With You', 'Circle', 'Memories of the Alhambra']"
"Legally, Dad","['Your Sweetheart Is Online', 'A Love Journal', 'Contractual Love', 'My Dear Brothers', 'Watashi no Tadashi Oniichan', 'Warm Time With You']"
Wannabe U,['The Miracle']
Goedam,"['Til Death Do Us Part', 'The Bridge Curse', '76 Horror Bookstore', 'Midnight Horror: Six Nights']"
When I Was the Most Beautiful,"['Now, We Are Breaking Up', 'Mars', 'Reply 1997', 'Drinking Solo', 'Chugakusei Nikki', 'Melancholia']"
Stranger Season 2,"['Stranger', 'Nobody Knows', ""The Victims' Game"", 'WATCHER', 'Hello Monster', 'Pride and Prejudice']"
Twenty-Twenty,"['My ID Is Gangnam Beauty', 'A-Teen', 'Moment at Eighteen', 'The World of My 17 Season 2', 'Trap', 'Love Teenager']"
Real:Time:Love Season 3,
Café Kilimanjaro,
You I Didn't Know,
Lonely Enough to Love,['Eulachacha Waikiki']
Something Music Season 2,
Pure Melo District,['Heartbeat Broadcasting Accident']
My Mukbang Diary,
Hanging On,"['Potato Star 2013QR3', 'Super Family', 'The Sound of Your Heart', 'Eulachacha Waikiki', 'Dr. Park’s Clinic']"
The Colors of Our Time,"['4 Reasons Why I Hate Christmas', ""Tell Me You've Changed""]"
Flower of Evil,"['The Innocent Man', 'Two Weeks', 'Mouse', 'Come and Hug Me', ""It's Okay to Not Be Okay"", 'Time Between Dog and Wolf']"
Kiss Goblin,"['My Roommate Is a Gumiho', 'Queen of the Ring', 'Scripting Your Destiny', 'Touch Me if You Can', 'Scent of Love', 'Mystic Pop-Up Bar']"
CHIP-IN,"['Law School', 'Vincenzo', '365: Repeat the Year', 'The Player', 'Anata no Ban Desu', 'Beyond Evil']"
Trap,"['Kill It', 'Save Me Season 2', 'Hometown', 'Shadow Detective', 'The Cursed', 'My Beautiful Bride']"
Train,"['The King: Eternal Monarch', 'Welcome 2 Life', 'Life on Mars', 'Tunnel', 'Nine: Nine Times Time Travel', 'Someday or One Day']"
Graceful Friends,"['Misty', 'The World of the Married', ""A Gentleman's Dignity"", 'The Penthouse: War in Life', 'Return', 'Woman of Dignity']"
Was It Love?,"['Ex-Girlfriend Club', 'Oh My Baby', 'Baek Hee Has Returned', 'Reply 1997', 'Three Dads One Mom', 'Emergency Couple']"
She Knows Everything,
The Reason I Hate You,
Almost Famous,
The Good Detective,"['Stranger', 'Nobody Knows', 'Beyond Evil', 'WATCHER', 'Signal', 'Remember: War of the Son']"
To All The Guys Who Loved Me,"['Well-Intended Love', 'The Undateables', 'Mystic Pop-Up Bar', 'Chicago Typewriter', 'How to Be Thirty', 'Someday or One Day']"
Into the Ring,"['Run On', 'Be Melodramatic', 'Miss Hammurabi', 'Good Manager', 'City Hall', 'Fight for My Way']"
Today Office Tomorrow Romance,"[""Tell Me You've Changed"", 'Save Me Oldie']"
King of Convenience,
My Wonderful Life,"[""Let's Eat"", 'Parasite', 'Happy Sisters']"
Pop Out Boy!,"['W', 'Extraordinary You', 'My Romantic Some Recipe', 'My Dear Warrior', 'Lost Romance', 'Nakuna, Hara-chan']"
How to Deal With First Love,
It's Okay to Not Be Okay,"['Hotel del Luna', ""It's Okay, That's Love"", ""Angel's Last Mission: Love"", 'Hometown Cha-Cha-Cha', 'Itaewon Class', 'Flower of Evil']"
Backstreet Rookie,"['Itaewon Class', 'Strong Woman Do Bong Soon', 'Fight for My Way', 'Convenience Store Fling', 'Hello Mr. Right', 'Convenience Store Junkies']"
Sometoon 2020,
In Your Dream,
IN-SEOUL Season 2,['Adult Trainee']
Ga Doo Ri’s Sushi Restaurant,['Naughty Boy']
LOVE up-date,
Thumbs Up Feeds Me,
Phantom the Secret Agent,['Mr. Queen']
My Boss Is a Million YouTuber,
My Unfamiliar Family,"['Dear My Friends', 'Go Ahead', 'V.I.P', 'Love Affairs in the Afternoon', 'Beautiful World', 'Soundtrack #1']"
A Ticket to India,"['Kiss Scene in Yeonnamdong', 'W.H.Y.', 'New Love Playlist']"
Dinner Mate,"['Another Miss Oh', 'Drinking Solo', 'Hometown Cha-Cha-Cha', 'Dating in the Kitchen', ""It's Okay, That's Love"", 'Crash Landing on You']"
Sweet Munchies,"['Personal Taste', 'Dinner Mate']"
Team Bulldog: Off-duty Investigation,"['The Fiery Priest', 'Mad Dog', 'The Guardians', 'Through the Darkness', ""You're All Surrounded"", 'Player']"
Cheeze Go,
Where Your Eyes Linger,"['To My Star', 'You Make Me Dance', 'Irresistible Love: Secret of the Valet', 'Never Let Me Go', 'I Told Sunset About You', 'Blueming']"
Mystic Pop-Up Bar,"['Hotel del Luna', 'Tomorrow', 'Tale of the Nine-Tailed', 'From Now On, Showtime!', 'Sell Your Haunted House', 'Goblin']"
Kkondae  Intern,"['Good Manager', 'Search: WWW', 'On the Verge of Insanity', 'Pegasus Market', 'Psychopath Diary', 'To Each His Own']"
King Maker: The Change of Destiny,"['Under the Power', ""The Princess's Man"", 'Moon Embracing the Sun', 'Queen: Love and War', 'Rookie Historian Goo Hae Ryung']"
A Successful Geek,
Oh My Baby,"['Was It Love?', ""Jojo's World"", 'Followers', 'Birthcare Center', 'Hi Bye, Mama!', 'Three Dads One Mom']"
Go With,
Soul Mechanic,"[""It's Okay, That's Love"", ""It's Okay to Not Be Okay"", 'Heart to Heart', 'Hospital Playlist', 'Kill Me, Heal Me', 'Mad for Each Other']"
Cast: The Golden Age of Insiders,
Mom Has an Affair,['Five Enough']
Extracurricular,"['Strangers from Hell', 'How to Buy a Friend', 'Class of Lies', 'Weak Hero Class 1', 'My Name', 'Revenge of Others']"
Good Casting,"['The Fiery Priest', 'Terius Behind Me', 'One the Woman', 'The Uncanny Counter', 'Search: WWW', 'Oh! My Lady']"
Shall We That’s,
When My Love Blooms,"['Youth of May', 'First Love: Hatsukoi', 'On the Way to the Airport', 'Snowdrop', 'My Love Eun Dong', 'A Moment to Remember']"
Mermaid Prince,['The Mermaid Prince: The Beginning']
The World of My 17,"['The Miracle', ""Girls' Generation 1979"", 'A-Teen', 'After School: Lucky or Not', 'When You Love Yourself', 'The World of My 17 Season 2']"
My Wonderful Roommate,
Brilliant Heritage,"['Ore no Ie no Hanashi', 'What Happens to My Family?', 'Shining Inheritance']"
Born Again,"['Chicago Typewriter', 'Good Bye, My Princess', 'Flower of Evil', 'Come and Hug Me', 'A Beautiful Mind', 'The Smile Has Left Your Eyes']"
Timing,['Our Beloved Summer']
Mute,"['I Hate You, Juliet!']"
The King: Eternal Monarch,"['Goblin', 'King2Hearts', 'Train', 'Live Up to Your Name', 'W', 'Sisyphus: The Myth']"
Crash! Insignificant Reunion,
The Female Friend Among Guys,"['Wednesday 3:30 PM', 'Drama Special Season 8: If We Were A Season', 'The Dolphin in the Little Mermaid']"
187 cm Male Friend vs 155 cm Female Friend,"['187cm vs 185cm', '187cm 167cm 157cm Friend', ""Brother's Friend"", 'Lovely Complex', 'Extraordinary You']"
ShorTest,
Ordinary but Special,['Once Again']
How to Buy a Friend,"['Extracurricular', 'Revenge of Others', ""Here's My Plan"", 'A Poem a Day', 'Weak Hero Class 1', 'Dokgo Rewind']"
Ask Miss Shin,
Best Mistake Season 2,"['School 2017', 'Be My Boyfriend']"
"AI, Her","['The Silent Sea', 'Ambergris', 'Jung_E']"
Fatal Promise,"['Yellow Boots', ""Angel's Revenge""]"
Rugal,"['Again My Life', 'Taxi Driver', 'L.U.C.A.: The Beginning', 'Leverage', 'Duel', 'Where Stars Land']"
The World of the Married,"['The Penthouse: War in Life', 'V.I.P', 'Flower of Evil', 'Avengers Social Club', 'Goodbye, My Love', 'Misty']"
Eccentric! Chef Moon,"['Chocolate', 'My Husband Oh Jak Doo', 'Our Glamorous Time', 'Warm and Cozy', 'Modern Farmer', 'Top Star Yoo Baek']"
"Meow, the Secret Boy","['Catman', ""Angel's Last Mission: Love"", 'Make a Wish', 'Kimi wa Petto', 'Taste of Cat', 'My Catman']"
"Romance, Talking","['Nevertheless,', 'Romanced', '4 Kinds of House']"
365: Repeat the Year,"['Reset', 'Memorist', 'Missing 9', 'Law School', 'Train', 'Kairos']"
A Piece of Your Mind,"['When the Weather Is Fine', 'One Spring Night', 'My Liberation Notes', 'Do You Like Brahms?', 'Just Between Lovers', 'Run On']"
Find Me in Your Memory,"['Remember: War of the Son', 'Touch Your Heart', 'Pinocchio', 'My Love, Enlighten Me', 'Link: Eat, Love, Kill', 'You Are My Spring']"
Kingdom Season 2,"['Kingdom', 'Kingdom: Ashin of the North', 'Rampant', 'Dark Hole', 'Train to Busan', 'Peninsula']"
Big Picture House,"['4 Kinds of House', 'So Not Worth it']"
"Fight Hard, Love Harder Season 2",
Hospital Playlist,"['Reply 1988', 'Prison Playbook', 'Dr. Romantic', 'Hospital Playlist Season 2', 'A Poem a Day', 'Live']"
Memorist,"['Hello Monster', 'He Is Psychometric', 'Beyond Evil', 'Signal', 'Flower of Evil', 'Stranger']"
Sweet and Salty Fairy,
Nobody Knows,"['Beyond Evil', 'Save Me', 'Flower of Evil', 'Beautiful World', 'Tell Me What You Saw', 'Children of Nobody']"
Scene Number Paran,"['Theory of Love', 'Vice Versa']"
When the Weather Is Fine,"['Hometown Cha-Cha-Cha', 'Just Between Lovers', 'Romance Is a Bonus Book', 'A Piece of Your Mind', 'Little Forest', 'Our Beloved Summer']"
"Hi Bye, Mama!","['49 Days', 'Oh My Ghost', 'Doom at Your Service', 'Be With You', 'Mystic Pop-Up Bar', 'Go Back Couple']"
Hyena,"['Vincenzo', 'Love to Hate You', 'The Fiery Priest', 'One Dollar Lawyer', 'Misty', 'Lawless Lawyer']"
One Fun Girl,
Sweat Romance Season 2,
Sungkyunkwan Romance,
The Temperature of Language: Our Nineteen,"['SKY Castle', 'Love Revolution', 'A-Teen', 'A-Teen Season 2', 'Anniversary Anyway', 'The Guilty Secret']"
Jump! Jump! Jump!,
The Cursed,"['Priest', 'The Guest', 'Spring Turns to Spring', 'The Uncanny Counter', 'Trap', 'Possessed']"
Ending Again,"['Because This Is My First Life', 'Ending Again Special', 'Konin Todoke ni Han wo Oshita dake desu ga', 'Love in Time', 'Nevertheless,', 'Dali and the Cocky Prince']"
My Holo Love,"[""I'm Not a Robot"", 'Memories of the Alhambra', 'Are You Human Too?', 'W', 'Love Crossed', 'Healer']"
Living With a Ghost,
Tell Me What You Saw,"['Voice', 'Tunnel', 'Nobody Knows', 'Good Job', 'Signal', 'Through the Darkness']"
Itaewon Class,"[""It's Okay to Not Be Okay"", 'Start-Up', 'Prison Playbook', 'Backstreet Rookie', 'Vincenzo', 'Record of Youth']"
Forest,"['A Piece of Your Mind', 'Jirisan', 'You Are My Hero', 'Dr. Romantic', 'Dr. Romantic Season 2', 'Descendants of the Sun']"
XX,"['Search: WWW', 'My Fuxxxxx Romance', 'Start-Up', 'Tempted', 'Romanced', 'Dear Missy']"
Real:Time:Love Season 2,"['Adult Trainee', '22 Flower Road', 'Real:Time:Love', 'Just One Bite Season 2']"
The Game: Towards Zero,"['He Is Psychometric', 'While You Were Sleeping', 'Flower of Evil', 'Blind', 'Black', 'Amensalism']"
How Are You Bread,"['Well Dominated Love', 'Delicious Destiny', 'Chocolate']"
Hearts and Hari,
Money Game,"['Stranger', 'Hush', 'Samjin Company English Class', 'Golden Empire', 'Golden Cross', 'Shadow Detective']"
I Need Standards 2,
Night of Love,
Winter Vacation,
Painless Youth,
A Twist Girl,
Dr. Romantic Season 2,"['Dr. Romantic', 'Hospital Playlist', 'Forest', 'Surgeons', 'Record of Youth', 'Koi wa Tsuzuku yo Doko Made mo']"
Touch,"['Mental Coach Jegal', 'Record of Youth', 'Itaewon Class', 'Romance Is a Bonus Book', 'Birth of a Beauty', 'True Beauty']"
Lover of the Palace,"['Ano ko no, Toriko', 'Meeting You']"
Confession Company,
"Worth Love, Bo Ram",
Wish Woosh Season 2,"['Forecasting Love and Weather', 'Wish Woosh']"
LOVE-Imong,
Genome’s Romance,"['Meow, the Secret Boy', ""I'm Not a Robot""]"
Do You Want to Play the Truth or Dare with Me? Reboot,
The Secret of Secret,
Diary of a Prosecutor,"['Misaeng: Incomplete Life', 'Live', 'Black Dog', 'Miss Hammurabi', 'Hyena', 'Forecasting Love and Weather']"
Black Dog,"['Misaeng: Incomplete Life', 'Nobody Knows', 'Crash Course in Romance', 'Do You Like Brahms?', 'Live', 'Diary of a Prosecutor']"
Ghost VRos,
Farming Academy Season 2,
Afraid Of,"['Alice: Crack of Season', 'Am I The Only One With Butterflies? Season 1', 'Out of Breath', 'She Makes My Heart Flutter']"
Crash Landing on You,"['Descendants of the Sun', 'Hometown Cha-Cha-Cha', 'King2Hearts', 'The Legend of the Blue Sea', 'Snowdrop', 'Secretly Greatly']"
Queen: Love and War,"['Bloody Heart', ""The King's Affection"", 'The Crowned Clown', 'Moon Embracing the Sun', 'The Legend of Jin Yan', 'Grand Prince']"
Hot Stove League,"['Doctor Prisoner', 'Good Manager', 'Racket Boys', 'Misaeng: Incomplete Life', 'Life', 'The King’s Avatar']"
Miracle Girl,
4 Reasons Why I Hate Christmas,"['The Colors of Our Time', 'Wednesday 3:30 PM']"
Woman of 9.9 Billion,"['A Model Family', 'Little Women', 'Love in Sadness', 'The World of the Married', 'High Class', 'Drama Stage Season 3: Blackout']"
Stranger Kim,
Bad Love,"['Bravo, My Life', 'Woman in a Veil', 'Sunny Again Tomorrow']"
Do With All Your Heart Today,
Chocolate,"['Just Between Lovers', 'When the Weather Is Fine', 'Marriage Contract', 'If You Wish Upon Me', 'My Mister', 'Koi wa Tsuzuku yo Doko Made mo']"
Kiss Scene in Yeonnamdong,"['My First First Love', 'You Drive Me Crazy', 'Adult Trainee', 'A Ticket to India', ""I Don't Love You Yet"", 'Who Stole My Kiss']"
Love with Flaws,"['Marriage, Not Dating', 'Yamato Nadeshiko Shichi Henge', 'Run On', 'She Was Pretty', ""What's Wrong with Secretary Kim"", 'The Lover']"
Yeonnam Family,
Trust Us and Be Patient,
True Ending,['True Beauty']
Psychopath Diary,"['Mouse', 'Strangers from Hell', 'The Fiery Priest', 'Hello Monster', 'Bad and Crazy', 'Zombie Detective']"
Fall In Mulberry,
Sandwich Theory,
The Pure Memories of My Heart,
Want a Taste?,['Happy Sisters']
Chief of Staff Season 2,"['Designated Survivor: 60 Days', 'Chief of Staff']"
Monchouchou Globalhouse,
22 Flower Road,['Real:Time:Love Season 2']
"I Love You, Loser!",
Gracious Revenge,"[""The Witch's Game"", 'Scandal', 'Vengeance of the Bride', 'Kill It']"
Never Twice,"['Be Strong Geum Soon', 'The Real Has Come!', 'I Really Really Like You', 'Once Again', 'Unasked Family', 'Pegasus Market']"
Dear My Name,"['Love Alarm', 'Color Rush', 'Coffee Prince', 'Broject', 'Cherry Blossoms After Winter', 'To My Puzzle Pieces']"
Welcome to Amazon,
V.I.P,"['The World of the Married', 'My Unfamiliar Family', ""Show Window: The Queen's House"", 'Drama Special Season 11: Crevasse', 'Cheat On Me, if You Can', 'Misty']"
Failing in Love,"['True Beauty', 'Blue Birthday', 'Cheese in the Trap', 'A-Teen', 'Because This Is My First Life', 'Adult Trainee']"
Unasked Family,"['Love Is Drop by Drop', 'Lovers in Bloom', 'Sunny Again Tomorrow', 'Never Twice', 'Bravo, My Life']"
Soul Plate,"['My Romantic Some Recipe', ""Angel's Last Mission: Love"", 'Taste of Cat', 'Handmade Love', 'Secret Love']"
Catch the Ghost,"['Love Me If You Dare', 'When the Camellia Blooms', 'He Is Psychometric', 'Psychopath Diary', ""The Master's Sun"", ""You're All Surrounded""]"
My Daughter's Just Like Me,
Miss Kim's Secret Life Season 2: Consumption,
The Price of a Life,
Crash! Insignificant Roommates,['Age of Youth']
Leverage,"['The Guardians', 'Player', 'Healer', 'Taxi Driver', 'Mad Dog', '38 Task Force']"
The Lies Within,"['365: Repeat the Year', 'Stranger', 'Justice', 'Graceful Family']"
"Teacher, Would You Like to Date Me?","['Love Buzz', 'Sensei Kunshu', 'Close Range Love', 'Hajimete Koi wo Shita Hi ni Yomu Hanashi', 'I Will Knock You', 'Daytime Shooting Star']"
One Fine Week,"['Imitation', 'W.H.Y.', 'The Greatest Love', 'Nothing But You', 'One Fine Week Season 2', 'So I Married an Anti-Fan']"
SPUNK,
My Country: The New Age,"['Hwarang', 'The Untamed', 'Warrior Baek Dong Soo', 'Moon Lovers: Scarlet Heart Ryeo', 'River Where the Moon Rises', 'Six Flying Dragons']"
Uigeumbu,
Extraordinary You,"['W', 'The Romance of Tiger and Rose', 'True Beauty', 'Night of Love With You', 'Lost Romance', 'Unexpected']"
The Tale of Nokdu,"['Mr. Queen', 'Love in the Moonlight', ""The King's Affection"", 'Rookie Historian Goo Hae Ryung', 'Ma Boy', 'Extraordinary You']"
Like,"['No Going Back Romance', 'The Mermaid Prince: The Beginning', 'A-Teen']"
Jo Mi Ryo,
"Beautiful Love, Wonderful Life","['The Last Empress', 'My Father Is Strange', 'Homemade Love Story', 'Because of Meeting You', 'My Only One', ""A Hundred Year's Inheritance""]"
Melting Me Softly,"['Thirty But Seventeen', 'While You Were Sleeping', 'Tunnel', 'The Secret Life of My Secretary', 'Frozen Love', 'Ice Girl']"
Miss Lee,['Misaeng: Incomplete Life']
As Your Heart Tells,
Vagabond,"['Mad Dog', 'The K2', 'Healer', 'Vincenzo', 'Big Mouth', 'Designated Survivor: 60 Days']"
Pegasus Market,"['Good Manager', 'Gaus Electronics', 'Eulachacha Waikiki', 'Stock Struck', 'Kkondae  Intern', 'Into the Ring']"
One-Dimensional,
When the Camellia Blooms,"['Hometown Cha-Cha-Cha', 'You Are My Spring', 'One Spring Night', 'Strong Woman Do Bong Soon', 'Catch the Ghost', 'Crash Course in Romance']"
Secret Boutique,"['Graceful Family', 'Money Flower', 'Big Issue', 'SKY Castle', 'Reflection of You', 'Hyena']"
The Running Mates: Human Rights,"['Awl', 'Doctor Detective', ""Witch's Court""]"
Fool And Idiot,
Flower Crew: Joseon Marriage Agency,"['The Crowned Clown', ""The Chang'an Youth"", 'Fake Princess', '100 Days My Prince', 'The Forbidden Marriage', 'The Secret Romantic Guesthouse']"
The Witch Store,
You Don’t Even Know The Taste of Americano,
The Guilty Secret,"['A-Teen Season 2', 'Love Revolution', 'Anniversary Anyway', 'A-Teen', 'The Temperature of Language: Our Nineteen']"
Arthdal Chronicles Part 3: The Prelude to All Legends,"['Alchemy of Souls', 'Arthdal Chronicles: The Sword of Aramun', 'Tree With Deep Roots', 'Tribes and Empires: Storm of Prophecy', 'The Legend', 'Vincenzo']"
Fantasy Timing,
Strangers from Hell,"['Extracurricular', 'Save Me', 'Sweet Home', 'Mouse', 'The Journey Across the Night', 'Character']"
My Ghost Brother,
Cat's Bar,"['Nishiogikubo Mitsuboshi Youshudou', 'Make a Wish', 'Meow, the Secret Boy', 'Taste of Cat', 'Coffee Shop', 'My Lonely Planet']"
The Great Show,"['Prime Minister and I', 'Stars Falling From the Sky', 'Scandal Makers', 'My Fellow Citizens!', 'My Father Is Strange', 'All About My Romance']"
Real:Time:Love,"['My Calorie Boy', 'No Bother Me', 'Real:Time:Love Season 2']"
Love Alarm,"['Who Are You: School 2015', 'Nevertheless,', 'Love Alarm Season 2', 'My First First Love', 'Where Your Eyes Linger', 'Sweet Revenge Season 2']"
Graceful Family,"['Lawless Lawyer', 'The Last Empress', 'Secret Boutique', 'SKY Castle', 'The Penthouse: War in Life', 'In Family We Trust']"
Alive,
Office Record,
Issue Makers,
Horror Monday,['Horror Delivery Service']
Rumor,['Find Me if You Can']
Be Melodramatic,"['Run On', 'Into the Ring', 'Work Later, Drink Now', 'Fight for My Way', 'Thirty-Nine', 'Because This Is My First Life']"
Hip Hop King: Nassna Street,
My YouTube Diary,
Summer Vacation,
Perhaps Love?,
Welcome 2 Life,"['Train', 'Familiar Wife', 'Wonderful Nightmare', 'Flower of Evil', 'Tomorrow With You', 'Go Back Couple']"
Everything and Nothing,"['Extracurricular', 'Drama Special Season 5: Middle School Student A', 'Page Turner', ""Ho Goo's Love"", 'Failing in Love']"
I Wanna Hear Your Song,"['Drama Special Series Season 2: Ordinary Love', 'Find Me in Your Memory', 'Suspicious Partner', 'Hello Monster', 'Prosecutor Princess', 'Do You Like Brahms?']"
Out of Breath,"['Sleep With Me', 'Afraid Of', 'She Makes My Heart Flutter', 'Girlfriend Project Day 1', 'Chalna: Enough Time to Fall in Love']"
Triple Fling Season 2,['Triple Fling']
X-Garion,
When the Devil Calls Your Name,"['Hit the Top', 'The One and Only', 'Mr. Back', '18 Again', 'Daemuga: Sorrow and Joy', 'Doctor John']"
IN-SEOUL,['Love Revolution']
My First First Love Season 2,"['My First First Love', ""I Don't Love You Yet"", 'Well-Intended Love Season 2', 'Weightlifting Fairy Kim Bok Joo']"
Best Mistake,"['Wolf Girl and Black Prince', 'Live On', 'Love Revolution', 'Light on Me', 'Seventeen', 'Click Your Heart']"
Moment at Eighteen,"['Le Coup de Foudre', 'School 2021', 'Crash Course in Romance', 'School 2017', 'A Little Thing Called First Love', 'True Beauty']"
Golden Garden,"['Because of Meeting You', 'Sunny Again Tomorrow', 'Red Shoes', 'Let Me Introduce Her', 'Stairway to Heaven', 'My Golden Life']"
Doctor John,"['A Beautiful Mind', 'Dr. Romantic', 'Doctors', 'Love Me If You Dare', 'Doctor Prisoner', 'Doctor Stranger']"
